,5rSUMMARY mean_0,5rSUMMARY mean_d_h2h1_0,5rSUMMARY mean_q1_0,5rSUMMARY mean_q2_0,5rSUMMARY mean_q3_0,5rSUMMARY mean_q4_0,5rSUMMARY mean_d_q1q2_0,5rSUMMARY mean_d_q1q3_0,5rSUMMARY mean_d_q1q4_0,5rSUMMARY mean_d_q2q3_0,5rSUMMARY mean_d_q2q4_0,5rSUMMARY mean_d_q3q4_0,5rSUMMARY std_0,5rSUMMARY std_d_h2h1_0,5rSUMMARY max_0,5rSUMMARY max_d_h2h1_0,5rSUMMARY max_q1_0,5rSUMMARY max_q2_0,5rSUMMARY max_q3_0,5rSUMMARY max_q4_0,5rSUMMARY max_d_q1q2_0,5rSUMMARY max_d_q1q3_0,5rSUMMARY max_d_q1q4_0,5rSUMMARY max_d_q2q3_0,5rSUMMARY max_d_q2q4_0,5rSUMMARY max_d_q3q4_0,5rSUMMARY min_0,5rSUMMARY min_d_h2h1_0,5rSUMMARY min_q1_0,5rSUMMARY min_q2_0,5rSUMMARY min_q3_0,5rSUMMARY min_q4_0,5rSUMMARY min_d_q1q2_0,5rSUMMARY min_d_q1q3_0,5rSUMMARY min_d_q1q4_0,5rSUMMARY min_d_q2q3_0,5rSUMMARY min_d_q2q4_0,5rSUMMARY min_d_q3q4_0,5rSUMMARY topFreq_1_0,5rSUMMARY topFreq_2_0,5rSUMMARY topFreq_3_0,5rSUMMARY topFreq_4_0,5rSUMMARY topFreq_5_0,5rSUMMARY topFreq_6_0,5rSUMMARY topFreq_7_0,5rSUMMARY topFreq_8_0,5rSUMMARY topFreq_9_0,5rSUMMARY topFreq_10_0,5rSUMMARY freq_011_0,5rSUMMARY freq_021_0,5rSUMMARY freq_032_0,5rSUMMARY freq_043_0,5rSUMMARY freq_053_0,5rSUMMARY freq_064_0,5rSUMMARY freq_075_0,5rSUMMARY freq_085_0,5rSUMMARY freq_096_0,5rSUMMARY freq_107_0,5rSUMMARY freq_117_0,5rSUMMARY freq_128_0,5rSUMMARY freq_139_0,5rSUMMARY freq_149_0,5rSUMMARY freq_160_0
4000,51327929.250832975,102655837.99056236,11.391821163249658,9.119281685715352,-2.113163653654572,205311698.60538995,2.272539477533927,13.504984816904155,-205311687.21356878,11.23244533937003,-205311689.4861112,-205311700.71855614,290352361.07607126,410620048.0105348,1642481385.9768438,1642481186.4052527,115.11574068246007,194.58036428171155,50.56924861898596,1642481385.9768438,-79.46462359925299,64.54649206347217,-1642481270.861108,144.01111566272544,-1642481191.396503,-1642481335.407592,-176.57723746169822,86.26457226352031,-61.86636034141913,-154.4700200002671,-72.90288539308537,0.0,92.60365965884999,11.036525051666777,-61.86636034141913,-81.56713460718234,-154.4700200002671,-72.90288539308537,3.18666666666667,4.2799999999999985,8.866666666666639,8.986666666666677,12.013333333333385,11.450666666666699,9.78666666666663,14.26666666666667,13.01066666666675,14.418666666666647,0.12500049194845103,0.1249996610122281,0.12499927984039648,0.1249996624060297,0.1250003168011799,0.1250004881419613,0.12500003310368252,0.1249995247265005,0.12499948393919723,0.12499991798523143,0.12500030948640783,0.1250002960469015,0.1250000457625055,0.12499987825625253,0.12499993374979516
4400,51327933.13271513,102655838.76771182,17.71783880630219,9.779878863898862,1.9172861303524038,205311703.1158553,7.937959942402924,15.800552675949795,-205311685.39801517,7.862592733546523,-205311693.33597767,-205311701.1985719,290352360.6967353,410620044.3998525,1642481387.7798824,1642481177.3066337,147.06236660553034,188.30871885165638,74.28451238618817,1642481387.7798824,-41.24635224612621,72.77785421933937,-1642481240.7175121,114.02420646546587,-1642481199.4711826,-1642481313.4953787,-174.83946556401656,96.14805469997424,-58.23651075056754,-156.29457763827259,-64.44767168215616,0.0,98.05806688770618,6.211160931588587,-58.23651075056754,-91.84690595611688,-156.29457763827259,-64.44767168215616,2.9866666666666646,4.480000000000005,9.888000000000002,8.725333333333323,11.253333333333337,11.490666666666703,9.946666666666632,14.421333333333298,12.50666666666678,14.567999999999973,0.1250004939712013,0.12499966373879175,0.12499927830112607,0.1249996607195028,0.12500031464029512,0.12500048618233933,0.12500003342767102,0.12499952139693271,0.12499948008479868,0.12499991545165377,0.12500030907801674,0.1250002996955671,0.12500004582186583,0.12499988681121389,0.12499992748664052
4800,51327924.91663516,102655827.00774984,17.353036597230453,5.4724831383534145,3.2675336818077425,205311673.57348502,11.880553458876646,14.085502915422719,-205311656.22044763,2.204949456545739,-205311668.1010034,-205311670.30595508,290352362.52257365,410620054.0257557,1642481389.5702028,1642481202.9364402,141.26977847839981,174.67835861437297,92.41401477492714,1642481389.5702028,-33.408580135975114,48.85576370347028,-1642481248.3004248,82.26434383944692,-1642481214.8918655,-1642481297.1561887,-178.53945289111013,89.0456616297771,-54.60548255791445,-157.6043287670919,-71.72474656023277,0.0,102.99884620917784,17.119264002319582,-54.60548255791445,-85.87958220685779,-157.6043287670919,-71.72474656023277,2.679999999999989,4.7866666666666795,10.56266666666669,8.533333333333362,10.770666666666639,11.674666666666702,9.522666666666613,14.813333333333306,13.544000000000054,13.378666666666707,0.12500048629883914,0.12499967395234274,0.12499929631981212,0.1249996659505142,0.125000302346083,0.1250004691164369,0.12500003617286098,0.1249995311667243,0.12499949025729977,0.1249999075632278,0.12500029978136407,0.1250002918901232,0.1250000538063521,0.12499989210368488,0.12499993105849785
5200,51327923.25455904,102655822.82484797,13.645865767428425,10.038403873719007,2.6644720865158154,205311666.6694926,3.607461893709019,10.981393680912648,-205311653.02362618,7.37393178720323,-205311656.63109073,-205311664.00502163,290352363.12768483,410620050.9250346,1642481391.224357,1642481183.4179862,130.22036199879614,193.9834586039048,80.17750010116009,1642481391.224357,-63.763096605109375,50.0428618976329,-1642481261.0039978,113.80595850274332,-1642481197.240912,-1642481311.0468535,-187.73055959586674,110.46771607827036,-61.33304390064454,-171.48691980853226,-64.2571464649318,0.0,110.15387590788774,2.9241025642881926,-61.33304390064454,-107.22977334359939,-171.48691980853226,-64.2571464649318,2.7199999999999904,4.746666666666679,10.43200000000001,7.677333333333386,11.757333333333383,11.898666666666722,9.434666666666622,14.706666666666644,12.61333333333344,14.279999999999989,0.12500048179613132,0.1249996792937392,0.12499929519441538,0.12499966661047417,0.12500029923483255,0.1250004704532874,0.12500002951923192,0.12499953517099963,0.12499949322961477,0.12499990954559034,0.12500029555864797,0.12500029285358433,0.125000051875975,0.12499989053800462,0.12499992692113505
5600,51327923.23253118,102655821.40789732,18.119946150827968,6.9372177380825715,1.9205817227340638,205311665.95237815,11.182728412744892,16.199364428093713,-205311647.83243045,5.01663601534856,-205311659.01516044,-205311664.03179657,290352363.45010364,410620052.50856924,1642481392.9692664,1642481193.8066878,151.2228145883572,181.43882513513316,81.45930859465493,1642481392.9692664,-30.216010546776975,69.76350599369914,-1642481241.7464478,99.97951654047637,-1642481211.5304482,-1642481311.5099502,-174.46834901484704,86.27551350063779,-56.005966297609284,-155.13060678504553,-71.58362448967317,0.0,99.1246404874363,15.577658192064314,-56.005966297609284,-83.54698229537202,-155.13060678504553,-71.58362448967317,2.333333333333323,5.133333333333357,9.757333333333342,9.077333333333304,11.031999999999975,11.52266666666671,10.098666666666649,13.877333333333276,13.525333333333387,13.909333333333343,0.1250004852753379,0.1249996756845559,0.12499930403679758,0.12499967088870913,0.1250003023576557,0.12500046437833448,0.12500002377960573,0.12499952854000168,0.12499949632133904,0.1249999198990854,0.12500030354901445,0.12500028791198572,0.1250000419296342,0.12499988740347039,0.12499993565266093
6000,51327928.102341965,102655829.27874,15.57972192748362,11.346220705259514,-0.25474334922056946,205311685.73816508,4.233501222223597,15.834465276704096,-205311670.15844172,11.60096405448022,-205311674.39194852,-205311685.99290958,290352362.84267426,410620051.963049,1642481394.5098057,1642481193.3570752,130.73223018183447,182.88502290915775,62.420289741367796,1642481394.5098057,-52.15279272732494,68.3119404404642,-1642481263.7775784,120.46473316779041,-1642481211.6248062,-1642481332.089507,-178.3183139098785,91.16707278531646,-52.60061192910725,-155.60632109851355,-69.89466109579769,0.0,103.00570916940686,17.29404916669199,-52.60061192910725,-85.71166000271549,-155.60632109851355,-69.89466109579769,2.8533333333333273,4.613333333333341,9.794666666666657,8.77066666666668,11.301333333333334,10.778666666666627,10.917333333333342,14.2373333333333,12.797333333333428,14.20266666666666,0.1250004867652189,0.12499966774589337,0.124999286038241,0.1249996641675853,0.1250003100316315,0.12500047669362715,0.125000033728319,0.12499952851930902,0.12499949032160336,0.12499991705026811,0.12500030905152587,0.12500029382133976,0.12500004759749697,0.12499988186672352,0.12499992894850841
6400,51327924.562515534,102655829.56783968,17.036848861505327,2.5203413514619646,0.5340442353729954,205311678.15882617,14.516507510042889,16.5028046261323,-205311661.12197626,1.9862971160890692,-205311675.63848537,-205311677.62478405,290352363.7697287,410620051.14983094,1642481396.0505412,1642481209.4532783,138.62880235979478,173.28180520906798,73.67446620105757,1642481396.0505412,-34.653002849274515,64.95433615873475,-1642481257.4217424,99.60733900800948,-1642481222.7687669,-1642481322.376089,-201.10318258119838,99.49533970770095,-54.668459163704945,-171.72595729617493,-74.87159956552438,0.0,117.05749813247006,20.203140401820953,-54.668459163704945,-96.85435773064928,-171.72595729617493,-74.87159956552438,2.4533333333333207,5.013333333333353,10.202666666666666,8.264000000000085,11.400000000000034,11.530666666666692,9.930666666666644,14.903999999999966,12.810666666666725,13.757333333333351,0.12500048985111048,0.12499966855250412,0.12499929689447209,0.12499966195297675,0.12500030075838983,0.1250004685475555,0.12500003048302832,0.12499953015940181,0.12499948610414713,0.12499991010203013,0.1250002962047841,0.12500029430603116,0.12500004740548074,0.12499989381066799,0.12499992391792221
6800,51327931.55626134,102655838.2104003,14.449682688930237,10.452439188254514,-0.9099169292735065,205311702.2328375,3.997243500675392,15.359599618203763,-205311687.783155,11.362356117527995,-205311691.78040072,-205311703.14275593,290352362.7902036,410620051.18561435,1642481397.6758695,1642481197.2310932,132.16304258256346,184.51519589042272,68.68050379760129,1642481397.6758695,-52.35215330786084,63.48253878495919,-1642481265.512832,115.83469209282144,-1642481213.1606846,-1642481328.9953623,-185.63848265868765,74.5974560722467,-59.81902353601867,-152.46474596838306,-81.40846453531886,0.0,92.64572243236407,21.589440999301846,-59.81902353601867,-71.05628143306367,-152.46474596838306,-81.40846453531886,2.8399999999999936,4.626666666666676,9.474666666666698,8.845333333333361,11.546666666666695,11.562666666666694,10.111999999999977,13.80266666666666,13.578666666666718,13.877333333333345,0.12500049355089932,0.1249996651774385,0.1249992792575574,0.12499965710820443,0.125000311256947,0.1250004848369394,0.12500003581982314,0.12499952610278367,0.12499947897531624,0.1249999085609527,0.12500030463895623,0.12500029805926777,0.12500005588515423,0.12499988499344614,0.12499992934856842
7200,51327932.918076344,102655845.08104542,15.04761061855462,5.707497136944409,2.1560202940490942,205311708.76117787,9.340113481609844,12.891590324505533,-205311693.71356738,3.5514768428952768,-205311703.05368203,-205311706.60515812,290352362.8356381,410620048.8165959,1642481399.2865098,1642481209.8519928,131.39801791735098,175.0247244652281,85.37499920175266,1642481399.2865098,-43.626706547877404,46.02301871559546,-1642481267.8884954,89.64972526347202,-1642481224.2618039,-1642481313.9115164,-210.85170964131876,111.45763777588368,-60.80489171704113,-182.2774481157383,-73.63470540496,0.0,121.47255639869681,12.829813687920064,-60.80489171704113,-108.64274271077834,-182.2774481157383,-73.63470540496,2.6933333333333227,4.773333333333346,9.765333333333418,9.146666666666661,10.954666666666663,11.690666666666704,9.642666666666644,15.285333333333279,12.210666666666796,14.104,0.12500049590640694,0.12499965942463748,0.12499927710999857,0.1249996459660559,0.12500031197898426,0.12500048282373621,0.1250000459197427,0.12499952203812263,0.12499947697406677,0.12499989617581946,0.125000298968987,0.12500030311641733,0.12500005944973844,0.12499989198202374,0.12499991823989168
7600,51327933.092645906,102655841.45296548,16.01889309713429,8.71343313062581,-0.1112634610023363,205311707.749519,7.305459966508063,16.13015655813664,-205311691.73062694,8.824696591628145,-205311699.03608677,-205311707.86078534,290352363.10781515,410620052.2904831,1642481400.9526148,1642481205.9589612,134.26609568635095,176.41127051690296,67.54917881348128,1642481400.9526148,-42.14517483055396,66.71691687286614,-1642481266.6865203,108.86209170342003,-1642481224.5413582,-1642481333.4034479,-179.13591836390532,87.7413366250434,-56.6462136848173,-158.46325545458356,-73.87691979791221,0.0,101.81704176976464,17.230706113095994,-56.6462136848173,-84.58633565667152,-158.46325545458356,-73.87691979791221,3.4000000000000097,4.066666666666659,9.096000000000041,9.490666666666632,11.279999999999994,10.618666666666629,11.357333333333415,14.54399999999992,12.55200000000007,13.861333333333345,0.12500049373114072,0.12499965666817658,0.12499927718116315,0.1249996635011194,0.12500031937132283,0.1250004902561904,0.12500003042108795,0.12499951779187825,0.12499947948987607,0.12499991852670636,0.12500031473490128,0.1250002940177481,0.1250000410384656,0.12499987839427565,0.12499993539319679
8000,51327933.52150835,102655837.6357612,17.615104171976704,11.792151089724122,2.3780593207925995,205311702.30071574,5.822953082252148,15.237044851184042,-205311684.68561223,9.414091768931474,-205311690.5085647,-205311699.92265847,290352363.3437361,410620057.50711334,1642481402.6744952,1642481212.4998822,142.6564379279266,160.635379413642,81.71657759132007,1642481402.6744952,-17.97894148571618,60.93986033660337,-1642481260.018051,78.91880182231995,-1642481242.039125,-1642481320.9579208,-169.85320914371928,77.78799553102074,-56.89101939930385,-142.46017688038225,-68.1645820584363,0.0,85.56915748107708,11.273562659134154,-56.89101939930385,-74.29559482194608,-142.46017688038225,-68.1645820584363,3.0533333333333332,4.413333333333336,9.426666666666694,8.81600000000001,11.624000000000025,10.738666666666639,10.474666666666677,14.775999999999975,12.776000000000098,14.167999999999996,0.1250004915547141,0.12499966687157882,0.1249992761488292,0.12499966338823759,0.1250003156237247,0.12500048535967465,0.12500003436755636,0.12499952154746284,0.12499948317631619,0.12499991486348673,0.12500031067014974,0.1250002978081649,0.125000048654834,0.12499988166853279,0.12499993295524645
8400,51327927.21557455,102655833.05727217,15.984646691115591,5.389228814213311,2.1775478449686783,205311685.31087223,10.595417876901756,13.807098846146742,-205311669.3262269,3.2116809692445774,-205311679.92164448,-205311683.13332522,290352364.8374828,410620057.33526254,1642481404.5547984,1642481214.565908,134.60422831654142,177.18293952051192,79.14863158387445,1642481404.5547984,-42.57871120397019,55.455596732663714,-1642481269.9505625,98.03430793663263,-1642481227.3718805,-1642481325.4061723,-168.2492373269097,88.4357195666228,-56.88057877822328,-151.47101261581207,-67.1951141066619,0.0,94.59043383758703,10.314535328440446,-56.88057877822328,-84.27589850914828,-151.47101261581207,-67.1951141066619,2.7999999999999927,4.666666666666677,10.082666666666672,7.6640000000000335,12.120000000000068,11.466666666666683,9.866666666666644,14.493333333333323,13.658666666666713,13.448000000000036,0.12500049022867368,0.1249996712207018,0.12499928925059507,0.12499966360168563,0.12500030785351288,0.12500047659559071,0.12500004087327574,0.12499952909944101,0.12499948776769966,0.12499990716918949,0.12500030204550008,0.12500029452046907,0.12500005668659217,0.12499989203258735,0.12499992788815863
