new,charcount,wordcount,sentencecount,number of standby,standby,roadblock,roadblock number,change in charcount,change in wordcount,change in sentencecount,chars produced,words produced,sentences produced,chars deleted,words deleted,sentences deleted,time (s),min time (s),5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
False,641,101,4,1,False,False,1,15.0,4.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,170.83781719207764,170.83778309822085,45.39393939393939,2.0,0.0303030303030303,0.5454545454545454,0.5151515151515151,101.0,4.0,0.0,0.0,101.0,4.0
False,665,106,4,1,False,False,1,24.0,5.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,176.16344809532166,176.16341519355774,47.1764705882353,2.0588235294117645,0.0294117647058823,0.5588235294117647,0.5294117647058824,106.0,4.0,0.0,0.0,106.0,4.0
False,691,111,4,1,False,False,1,26.0,5.0,0.0,26.0,5.0,0.0,0.0,0.0,0.0,181.4858102798462,181.48577427864075,49.0,2.1142857142857143,0.0285714285714285,0.5714285714285714,0.5428571428571428,111.0,4.0,0.0,0.0,111.0,4.0
False,711,112,5,1,False,False,1,20.0,1.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,187.1155681610108,187.1155071258545,50.75,2.1944444444444446,0.0277777777777777,0.5833333333333334,0.5555555555555556,112.0,5.0,0.0,0.0,112.0,5.0
True,711,112,5,1,False,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.54163932800293,187.1155071258545,52.4054054054054,2.27027027027027,0.027027027027027,0.5945945945945946,0.5675675675675675,112.0,5.0,0.0,0.0,112.0,5.0
True,711,112,5,2,True,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.861102104187,187.1155071258545,53.97368421052632,2.3421052631578947,0.0526315789473684,0.631578947368421,0.5789473684210527,112.0,5.0,0.0,0.0,112.0,5.0
True,711,112,5,3,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.19912028312683,187.1155071258545,55.46153846153846,2.41025641025641,0.0769230769230769,0.6923076923076923,0.5897435897435898,112.0,5.0,0.0,0.0,112.0,5.0
True,711,112,5,4,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.4780161380768,187.1155071258545,56.875,2.475,0.1,0.775,0.6,112.0,5.0,0.0,0.0,112.0,5.0
True,711,112,5,5,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.8244631290436,187.1155071258545,58.21951219512195,2.5365853658536586,0.1219512195121951,0.8780487804878049,0.6097560975609756,112.0,5.0,0.0,0.0,112.0,5.0
True,711,112,5,6,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.1305360794068,187.1155071258545,59.5,2.595238095238096,0.1428571428571428,1.0,0.6190476190476191,112.0,5.0,0.0,0.0,112.0,5.0
