,charcount,wordcount,sentencecount,standby,number of standby,roadblock number,chars prodocued,words produced,sentences produced,chars deleted,words deleted,sentences deleted,change in charcount,change in wordcount,change in sentencecount,5rSUMMARY charcount,5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
191,192,2639,447,24,False,49,13,33.0,6.0,1.0,33.0,6.0,1.0,0.0,0.0,0.0,400.3833333333333,21.35,0.3,38.85,10.616666666666667,105.0,5.0,2.0,0.0,103.0,5.0
192,193,2668,452,24,False,49,13,29.0,5.0,0.0,29.0,5.0,0.0,0.0,0.0,0.0,402.1166666666667,21.433333333333334,0.3,39.15,10.683333333333334,106.0,5.0,2.0,0.0,104.0,5.0
193,194,2699,459,25,False,49,13,31.0,7.0,1.0,31.0,7.0,1.0,0.0,0.0,0.0,403.95,21.516666666666666,0.3,39.45,10.75,112.0,5.0,2.0,0.0,110.0,5.0
194,195,2708,461,25,False,49,13,9.0,2.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,405.78333333333336,21.6,0.3,39.75,10.816666666666666,112.0,5.0,2.0,0.0,110.0,5.0
195,196,2708,461,25,False,49,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.6166666666667,21.683333333333334,0.3,40.05,10.883333333333333,112.0,5.0,2.0,0.0,110.0,5.0
196,197,2708,461,25,True,50,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.3,21.766666666666666,0.3166666666666666,40.36666666666667,10.95,103.0,5.0,2.0,0.0,101.0,5.0
197,198,2725,463,25,False,50,13,17.0,2.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,411.01666666666665,21.85,0.3166666666666666,40.68333333333333,11.016666666666667,105.0,5.0,2.0,0.0,103.0,5.0
198,199,2727,464,25,False,50,13,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,412.75,21.933333333333334,0.3,40.98333333333333,11.083333333333334,106.0,5.0,2.0,0.0,104.0,5.0
199,200,2755,470,25,False,50,13,28.0,6.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,414.53333333333336,22.016666666666666,0.3,41.28333333333333,11.15,109.0,5.0,2.0,0.0,107.0,5.0
200,201,2774,472,25,False,50,13,19.0,2.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,416.3333333333333,22.1,0.3,41.583333333333336,11.216666666666669,110.0,5.0,2.0,0.0,108.0,5.0
201,202,2778,473,26,False,50,13,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,418.1166666666667,22.2,0.3,41.88333333333333,11.283333333333331,109.0,6.0,2.0,0.0,107.0,6.0
